dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.frequence;custom.cycle;custom.periodicity;pigma.identifiant-pigma;pigma.lien-pigma;pigma.origine;pigma.frequence;pigma.remarque_frequence;datasetid
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Indemnités des élus de la ville de Mérignac en 2024;<p>Etat des indemnités perçues par les élus de la ville de Mérignac en 2024</p>;RH;Indemnités élus,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2026-01-05T15:30:46+00:00;False;True;2026-01-05T15:30:46+00:00;2026-02-03T13:36:39.980000+00:00;fr_80_33281;False;Mérignac;;;Ville de Mérignac;;52;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;mer_indemniteselus_2024
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptage du trafic 2022 Bordeaux Métropole;"Bordeaux Métropole a installé un réseau de capteurs pour évaluer l'état de la circulation sur son territoire. Ce trafic peut être consulté en temps réel sur http://sedeplacer.bordeaux-metropole.fr/
<p>Ce jeu présente des données alphanumériques qui informent sur les valeurs moyennes annuelles à l'heure de pointe du matin (HPM), heure de pointe du soir (HPS) et trafic moyen des jours ouvrés (TMJO) à l’aide des données de huit semaines de référence hors vacances scolaires.</p><div><hr style=""font-size: 12.495px;""/><p>Ce jeu de données peut être mis en relation avec <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/pc_capte_p"" target=""_blank"">la localisation des compteurs de trafic</a> à partir de la référence du compteur (attribut capteur).</p></div>";Transports/mobilité;automobile,débit,véhicule,poids lourds,routier,trafic,voitures,comptage,circulation,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2022-03-09T11:36:46+00:00;False;False;2023-03-01T10:11:41+00:00;2025-06-02T08:11:38.820000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;408;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;comptage_trafic_2022
;2012-09-20;Ville de Bordeaux;Finances;;;Annuelle;;;Chapitre;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Budget 2011 par nomenclature;Budget 2011 par nomenclature.;Finances;Budget principal,Chapitre,Nomenclature;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-08T10:31:41+00:00;False;False;2020-07-23T12:56:47+00:00;2025-06-02T08:04:28.117000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;32;;;;;;;False;;;Millésimée;Finalisé;;;;;;;budgetnomenc2011
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkings données techniques 2024;"<p>Les données techniques des parkings publics 2024 vous informent sur la capacité des parkings, leur gestionnaire, leurs caractéristiques... Vous pouvez les géolocaliser grâce à la couche <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/st_park_p"" target=""_blank"">Parking hors voirie</a> et la mettre en relation avec le jeu de données <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/to_eqpub_p"" target=""_blank"">Equipement public</a>.</p>";Transports/mobilité;mobilité,transport,places,parkings,stationnement,tramway,tram,parcs relais,tbm,data-gouv,2024;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2024-12-31T15:31:54+00:00;False;False;2024-08-14T12:59:28+00:00;2025-06-02T08:04:56.660000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;92;;;;;;;False;;ANNUAL_2;Millésimée;Finalisé;Annuelle;;;;;;parkings-donnees-techniques-2024
;;;Opendatasoft;;;Annual;France;2013 - ;;;Administration;;;;;;;;;;;;;;;;;;;;;;;Nomenclature des actes budgétaires - Références Fonctionnelles - 2013 à 2022;<p>Ce jeu de données fait partie des données économiques de référence identifiées par Opendatasoft.</p> <p>Il contient la liste des références fonctionnelles des actes budgétaires de 2013 à 2022.</p>;Finances;nomenclature des actes budgétaires,collectivités locales,comptabilité,plan de comptes,Totem;Open License v2.0;https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf;fr;fr;;2021-06-09T11:52:25+00:00;False;False;2022-04-27T09:10:16+00:00;2026-03-31T01:27:30.851000+00:00;world_fr;False;France;;;Direction Générale des Collectivités Locales (DGCL);http://odm-budgetaire.org/composants/normes/;2752;DGCL (odm-budgetaire.org);;;;;;True;;;;;;;;;;;nomenclature-des-actes-budgetaires-references-fonctionnelles-millesime-france
;2012-09-20;Ville de Bordeaux;Finances;;;Annuelle;;;Total annuel;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Taxe de séjour depuis 2002 de la ville de Bordeaux;Taxes de séjour prévues et réalisées depuis 2002;Tourisme;Budget,Recette,Taxe;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-08T10:34:11+00:00;False;False;2020-12-18T14:30:53+00:00;2025-06-02T08:07:08.296000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;13;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;bor_taxsejour
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parkings données techniques 2026-fervrier;"<p>Les données techniques des parkings publics 2026 vous informent sur la capacité des parkings, leur gestionnaire, leurs caractéristiques... Vous pouvez les géolocaliser grâce à la couche <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/st_park_p"" target=""_blank"">Parking hors voirie</a> et la mettre en relation avec le jeu de données <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/to_eqpub_p"" target=""_blank"">Equipement public</a>.</p>";Transports/mobilité;mobilité,transport,places,parkings,stationnement,tramway,tram,parcs relais,tbm,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2025-03-05T14:39:54+00:00;False;False;2026-03-03T14:35:59+00:00;2026-03-03T14:35:59.709000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;97;;;;;;;False;;ANNUAL_2;Millésimée;Finalisé;Annuelle;;;;;;parkings-donnees-techniques-2026-fevrier
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Implantation des défibrillateurs municipaux sur la commune du Haillan;;Infrastructure physique (réseau);;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2023-11-23T11:03:05+00:00;False;False;2024-03-04T14:14:26+00:00;2025-06-02T08:04:54.545000+00:00;fr_80_33200;True;Le Haillan;Point;"{""coordinates"": [[[-0.671655060723424, 44.8858999600634], [-0.6791120208799839, 44.8858999600634], [-0.6791120208799839, 44.86409997101873], [-0.671655060723424, 44.86409997101873], [-0.671655060723424, 44.8858999600634]]], ""type"": ""Polygon""}";Ville Le Haillan;;17;;;;;;;False;;;Service;Finalisé;Annuelle;;;;;;leh-implantation-defibrillateurs-municipaux
;2012-09-20;Ville de Bordeaux;DEPEF;;;Annuelle;;;Tronçon de voie;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Carte scolaire de Bordeaux 2015;Liste des écoles de rattachement par rapport à une adresse.;Education;Adresse,Ecole,Education,Scolaire,Sectorisation,Voie publique;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-08T10:31:46+00:00;False;False;2020-12-18T13:57:40+00:00;2025-06-02T08:07:04.342000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;10133;;;;;;;False;;;Millésimée;Finalisé;Irrégulière;;;;;;bor_cartescol
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Palmares prénoms masculins 2005 - 2020;<p>Palmarès prénoms masculins 2005 - 2020<br/></p>;Etat Civil;prénoms,masculins;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2021-02-09T14:38:48+00:00;False;False;2021-02-09T14:40:10+00:00;2025-06-02T08:11:18.668000+00:00;fr_70_243300316;True;Bordeaux Métropole;;;Ville de Talence;;2472;;;;;;;False;;;;;;;;;;;palmares-prenoms-masculins-2005-2020
