dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.frequence;custom.cycle;custom.periodicity;pigma.identifiant-pigma;pigma.lien-pigma;pigma.origine;pigma.frequence;pigma.remarque_frequence;datasetid
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dictionnaire Public SIG;"<p>Ensemble de fonctions en services web WPS, permettant d'accéder à la documentation des couches SIG (modèle, alias, relations, valeurs de listes) issues de la base de données SIG de Bordeaux Métropole.<br/> Ce dictionnaire est accessible via une interface sur <a href=""http://data.bordeaux-metropole.fr/dicopub/#/dico"">http://data.bordeaux-metropole.fr/dicopub/#/dico</a></p><hr/><div><center><h1>WebService WPS</h1></center><h2>Fonctionnement</h2><p>Le WPS est un service d'accès temps réel. Pour plus de détails, reportez-vous à la FAQ.</p><h2>URL du WebService : </h2><p>https://data.bordeaux-metropole.fr/wps?key=[VOTRECLE]&amp;SERVICE=WPS&amp;VERSION=1.0.0&amp;REQUEST=EXECUTE&amp;IDENTIFIER=[NOMCOUCHE]</p><p>Remplacez  [VOTRECLE] par la clé logicielle qui vous a été fournie par Bordeaux  Métropole. Pour en commander une (valide pour les WebServices WMS, WFS,  WPS et API CUB), <a href=""https://data.bordeaux-metropole.fr/key.php"">cliquez-ici</a></p><p>Si vous souhaitez consulter plus d'information sur les webservices OGC cliquez sur <a href=""https://opendata.bordeaux-metropole.fr/pages/webservice-ogc/"" target=""_blank"">ce lien</a></p><h2>Nom de la couche</h2><p>Nom de la couche à fournir à votre client : </p></div><table class=""table table-bordered""><tbody><tr><td><b>Nom couche</b></td><td><b>Description</b></td></tr><tr><td><span style=""font-family: monospace; font-size: 13px;"">dico_domaines</span><br/></td><td><span style=""font-family: monospace; font-size: 13px;"">Les domaines sont des super-catégories de thèmes. Les thèmes sont des regroupement logiques de couches. Cette fonction permet de lister les domaines disponibles et les thèmes contenues</span><br/></td></tr><tr><td><span style=""font-family: monospace; font-size: 13px;"">dico_themes</span><br/></td><td><span style=""font-family: monospace; font-size: 13px;"">Les thèmes sont des regroupement logiques de couches. Cette fonction permet de lister les thèmes disponibles et les couches contenues</span><br/></td></tr><tr><td><span style=""font-family: monospace; font-size: 13px;"">dico_couches</span><br/></td><td><span style=""font-family: monospace; font-size: 13px;"">Cette fonction permet de lister les couches disponibles ainsi que leurs attributs</span><br/></td></tr><tr><td><span style=""font-family: monospace; font-size: 13px;"">dico_propagation</span><br/></td><td><span style=""font-family: monospace; font-size: 13px;"">Cette fonction permet de lister la propagation des couches</span><br/></td></tr><tr><td><span style=""font-family: monospace; font-size: 13px;"">dico_search</span><br/></td><td><span style=""font-family: monospace; font-size: 13px;"">Cette fonction permet d'effectuer une recherche dans le dictionnaire</span><br/></td></tr></tbody></table><div><p><strong><br/></strong></p></div><hr/>";Infrastructure IT;dictionnaire public, service, wps,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:47:25+00:00;False;False;;2025-06-02T08:11:10.633000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;0;;;;;;;False;;;Service;Finalisé;;;;;;;dico_xxx
;;;;;;;;;;;;;;;;;communauté urbaine,opendata,comptage routier,CI_,circulation,trafic;;d21d4d9a-6459-4d19-b84d-21981a8e0dbb;;;;;Direction des Transports et de la Mobilité Durable;;;;L'objectif de ce jeu de données est d'avoir un historique de l'évolution du trafic sur les voies de circulation.;Bordeaux Métropole;-0.8835;-0.44377;44.730085;45.04764;Comptage du trafic en 2011;"<p>Bordeaux Métropole a installé un réseau de capteurs pour évaluer l'état de la circulation sur son territoire. Ce trafic peut être consulté en temps réel sur http://sedeplacer.bordeaux-metropole.fr/.<br/> Ce jeu de données consolide sur 2011 les comptages du débit routier aux heures de pointes (matin et soir), la moyenne de ce débit sur les jours ouvrés, et l'évolution de ces débits entre 2010 et 2011 pour chaque compteur. Pour les compteurs de type SIREDO, ce tableau fourni en plus le nombre de poids lourds et la vitesse moyenne de circulation en 2011 ainsi que leurs évolutions entre 2010 et 2011.</p><hr/><p></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 12.495px;'>Ce jeu de données peut être mis en relation avec <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/pc_capte_p"" target=""_blank"">la localisation des compteurs de trafic</a> à partir de la référence du compteur (attribut capteur).</p>";Transports/mobilité;automobile,débit,véhicule,poids lourds,routier,trafic,voitures,comptage,circulation,2011,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2019-04-03T15:46:15+00:00;False;False;2021-01-19T21:16:51+00:00;2026-03-29T17:01:27.225000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;493;;;;;;;False;;;Millésimée;Finalisé;;;https://www.pigma.org/geonetwork/srv/fre/catalog.search#/metadata/d21d4d9a-6459-4d19-b84d-21981a8e0dbb;Les données sont issues du système de gestion des feux Gertrude à partir de boucles de comptages sur la chaussée. De plus, des stations SIREDO sont implantées en périphérie et permettent d'obtenir les trafics poids-lourds et les vitesses. Ces données temps réel des comptages routiers sont consolidées à l'année par les services de la Cub et un comparatif entre l'année en cours et l'année précédente est effectué.;Non planifié;Données millésimées, donc non mises à jour. Un autre jeu de données sera créé pour les années suivantes.;comptage_trafic_2011
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Résultats élections de la ville de Bordeaux;"<p>Résultats électoraux depuis 1995 par bureaux de vote pour la ville de Bordeaux.<br><br></p><hr><p><br></p><p><span style=""color: rgb(51, 51, 51); font-size: 14px;"">Ce jeu de données peut être mis en relation avec </span><a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/el_lieuvote_p"" target=""_blank"">Lieux de vote</a>.<br></p>";Administration générale;Vote,Elections,Résultat;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2020-11-25T11:03:00+00:00;False;False;2020-11-25T11:03:26+00:00;2025-06-23T09:07:32.130000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;47026;;;;;;;False;;;Millésimée;Finalisé;Irrégulière;;;;;;bor_resultats-elections
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptage du trafic Métropole 2015;"Bordeaux Métropole a installé un réseau de capteurs pour évaluer l'état de la circulation sur son territoire. Ce trafic peut être consulté en temps réel sur http://sedeplacer.bordeaux-metropole.fr/<div><hr style=""font-size: 12.495px;""/><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-size: 12.495px;'>Ce jeu de données peut être mis en relation avec <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/pc_capte_p"" target=""_blank"">la localisation des compteurs de trafic</a> à partir de la référence du compteur (attribut capteur).</p></div>";Transports/mobilité;automobile,débit,véhicule,poids lourds,routier,trafic,voitures,comptage,circulation,2015,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:46:20+00:00;False;False;2021-01-19T21:12:52+00:00;2025-06-02T08:04:31.544000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;523;;;;;;;False;;;Millésimée;Finalisé;;;;;;;comptage_trafic_2015
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2009 de Bordeaux Métropole;Budget primitif pour l'année 2009 de Bordeaux Métropole.;Finances;primitif,finance,budget,2009,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:45:58+00:00;False;False;2021-01-19T21:28:00+00:00;2025-06-02T08:04:33.278000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;2704;;;;;;;False;;;Millésimée;Finalisé;;;;;;;budget_primitif_2009
2021-01-14;;Ministère des Solidarités et de la Santé;Opendatasoft;;;Every hour;France;2021-01-14 - ;;;Administration;;;;;;;;;;;;;;;;;;;;;;;Lieux de vaccination contre la Covid-19 - Bordeaux Métropole;"<p><b>Stratégie vaccinale</b></p><p><span>La stratégie vaccinale mise en place doit permettre de remplir trois objectifs de santé publique :</span></p><ul><li><span>Faire baisser la mortalité et les formes graves de la maladie</span></li><li><span>Protéger les soignants et le système de soins</span></li><li><span>Garantir la sécurité des vaccins et de la vaccination</span></li></ul><p>Dans le cadre de cette stratégie des lieux dédiés à la vaccination sont mis en place.</p><p><b>Les données</b></p><p>Le jeu de données contient la liste des lieux dédiés à la vaccination contre la Covid-19 sur le territoire de Bordeaux Métropole. Cette liste provient des déclarations des Agences Régionales de Santé, qui consolident les centres de leurs régions. La variété des sources de données engendrent des différences de format notamment sur les horaires d'ouverture.</p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'><b>Enrichissement</b></p><ul><li>ajout des hiérarchies administratives.</li><li>labélisation des valeurs booléennes.</li><li>formatage du champ accessibilité.</li></ul>";Santé;coronavirus,vaccin,vaccination,covid19;Open License v2.0;https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf;fr;fr;;2026-03-31T01:10:22+00:00;False;True;2026-03-31T01:10:22+00:00;2026-03-31T01:27:32.764000+00:00;fr_70_243300316;False;Bordeaux Métropole;Point;"{""coordinates"": [[[-0.4723240155726671, 44.9290999956429], [-0.7045340817421675, 44.9290999956429], [-0.7045340817421675, 44.7801999701187], [-0.4723240155726671, 44.7801999701187], [-0.4723240155726671, 44.9290999956429]]], ""type"": ""Polygon""}";Ministère des Solidarités et de la Santé;https://www.data.gouv.fr/fr/datasets/lieux-de-vaccination-contre-la-covid-19/#_;22;;;;;;;True;;;;;;;;;;;lieux-de-vaccination-contre-la-covid-19-bordeaux-metropole
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inventaire des émissions de polluants sur Bordeaux Métropole;"<p>Estimation des émissions annuelles totales des principaux polluants atmosphériques sur le territoire de Bordeaux Métropole par <a href=""https://opendata.atmo-na.org/"" style='font-size: 14px; background-color: rgb(255, 255, 255); text-decoration: none; color: rgb(29, 130, 147); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; font-weight: 400;' target=""_blank"">Atmo Nouvelle-Aquitaine</a><span style=""font-family: inherit; font-size: 0.875rem;""> :</span></p><ul><li>Dioxyde de soufre SO<sub>2</sub></li><li>Oxydes d’azote NO<sub>x</sub> (équivalent NO<sub>2</sub>)</li><li>Particules en suspension PM<sub>10</sub></li><li>Particules fines PM<sub>2.5</sub></li><li>Benzène C<sub>6</sub>H<sub>6</sub></li><li>Composés Organiques Volatils Non Méthaniques COVNM</li><li>Ammoniac NH<sub>3</sub></li><li>Monoxyde de carbone CO</li><li>Arsenic As</li><li>Cadmium Cd</li><li>Nickel Ni</li><li>Plomb Pb</li><li>Benzo(a)pyrène BaP</li></ul><p>Les valeurs d’émissions de polluants atmosphériques ont été calculées conformément au guide méthodologique pour l’élaboration des inventaires territoriaux des émissions atmosphériques réalisé par le Pôle de Coordination national sur les Inventaires d’émissions Territoriaux (PCIT) et au référentiel français OMINEA élaboré par le CITEPA.</p>";Environnement;pollution,qualité air,polluant atmosphérique;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2026-03-31T02:47:27+00:00;False;True;2026-03-31T02:47:27+00:00;2026-03-31T02:47:27.793000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Atmo Nouvelle-Aquitaine;https://opendata.atmo-na.org/dataset/inventaires/region;64;Atmo Nouvelle-Aquitaine;;;;;;False;;DAILY;Quotidienne;Finalisé;Annuelle;;;;;;bor_inventaire-polluants-atmo
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Objet ponctuel du PCRS : affleurant de réseaux;"<div class=""dico"" style=""font-size: 12.495px;""> <a class=""ods-button dico-button"" href=""https://data.bordeaux-metropole.fr/dicopub/#/dico#cr_objet_reseau_p"" target=""_blank"">     <div class=""dico-img-div"">      <img alt=""picto dictionnaire public"" class=""dico-img"" src=""https://opendata.bordeaux-metropole.fr/assets/theme_image/dico_big.png""/>     </div><small class=""dico-lib"" style=""font-size: 9.996px;"">Dictionnaire Public</small></a>   </div><p>Ce jeu de donnée référence les Objets ponctuels du PCRS du thème ""Affleurant de réseaux"".<br>Le Plan Corps de Rue Simplifié (PCRS) est constitué et actualisé sur Bordeaux Métropole dans le cadre de la réforme anti-endommagement des réseaux de 2012 afin de servir de référentiel géographique de précision pour la sécurisation des interventions à proximité des réseaux en tant que support à la localisation des réseaux dans les réponses aux déclarations de travaux (DT et DICT). Le PCRS sur Bordeaux Métropole est une restitution d'objets vecteur 3D avec une classe de précision de [3 cm] en XY et Z pouvant servir à d’autres usages allant au-delà de la réglementation anti-endommagement pour laquelle il a été initialement constitué.</p>     <hr id=""horizontalrule""/>   <p>Ce jeu de données est disponible dans un format additionnel :  <br></p>   <p><a class=""ods-button"" href=""https://fr.ftp.opendatasoft.com/scnbdx/DWG/CR_OBJET_RESEAU_P.dwg"">Téléchargement au format AutoCAD DWG  </a></p>";Infrastructure physique (réseau);pcrs,public,domaine,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2026-01-01T01:15:55+00:00;False;True;2026-01-01T01:15:55+00:00;2026-03-30T20:14:47.414000+00:00;fr_70_243300316;False;Bordeaux Métropole;Point;"{""coordinates"": [[[-0.4603984113782644, 45.03600639291108], [-0.8831923361867666, 45.03600639291108], [-0.8831923361867666, 44.74177598487586], [-0.4603984113782644, 44.74177598487586], [-0.4603984113782644, 45.03600639291108]]], ""type"": ""Polygon""}";Bordeaux Métropole;;1326895;;;;;;;False;;;Quotidienne;Finalisé;Quotidienne;;;;;;cr_objet_reseau_p
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2015 de Bordeaux Métropole;<p>Budget primitif pour l'année 2015 de Bordeaux Métropole.</p>;Finances;primitif,finance,budget,2015,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:46:09+00:00;False;False;2021-01-19T21:20:54+00:00;2025-06-02T08:10:58.043000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;1024;;;;;;;False;;;Millésimée;Finalisé;;;;;;;budget_primitif_2015
;2012-09-20;Ville de Bordeaux;DPT;;;Semestrielle;;;Objet;Précision : Bonne, Exhaustivité : Totale;;;;;;;;;;;;;;;;;;;;;;;;Mobiliers urbains : Panneaux d'affichage libre de la ville de Bordeaux;Emplacement des panneaux d'affichage libre sur le domaine public. ;Infrastructure physique (réseau);Affichage libre,Cartographie,Mobilier urbain,Panneaux,SIG;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2026-03-31T03:05:33+00:00;False;True;2026-03-31T03:05:33+00:00;2026-03-31T03:05:33.471000+00:00;fr_80_33063;False;Bordeaux;Point;"{""coordinates"": [[[-0.5386389512568712, 44.87947221379727], [-0.6375278066843748, 44.87947221379727], [-0.6375278066843748, 44.81355554424226], [-0.5386389512568712, 44.81355554424226], [-0.5386389512568712, 44.87947221379727]]], ""type"": ""Polygon""}";Ville de Bordeaux;;76;;;;;;;False;;;Quotidienne;Finalisé;Semestrielle;;;;;;bor_sigpanneaux
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2014 de Bordeaux Métropole;Budget primitif pour l'année 2014 de Bordeaux Métropole.;Finances;primitif,finance,budget,2014,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;;2019-04-03T15:46:08+00:00;False;False;2021-01-19T21:22:23+00:00;2025-06-02T08:04:33.459000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;1132;;;;;;;False;;;Millésimée;Finalisé;;;;;;;budget_primitif_2014
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Indemnités des élus de la ville du Haillan;<p>Indemnités de mandat perçues mensuellement par les élus municipaux de la ville du Haillan depuis 2020</p>;RH;Indemnités élus,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Amsterdam;2023-07-12T09:31:12+00:00;False;True;2023-07-12T09:31:12+00:00;2025-06-02T08:11:42.141000+00:00;fr_80_33200;False;Le Haillan;;;Ville Le Haillan;;972;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;leh_indemnites_elus_2020
;;;;;;;;;;;;;;;;;;;46cc7fe7-6788-447c-a686-fbccf82e9fc6;;;;;Direction du programme numérique à la Population;;;;Ce jeu de données permet d'aider les élus à la prise de décision sur les projets de redécoupage électoral​, de générer des cartes numériques et papier représentatives par bureaux de vote, canton, et pouvoir croiser ces données avec d'autres (par ex. superposer d’autres couches de données métier de la commune ou avec données du territoire INSEE)​;Commune de Bordeaux, Commune du Taillan-Medoc,  Commune du Haillan;-0.8835;-0.44377;44.730085;45.04764;Lieux de vote;"       <div class=""dico""> <a class=""ods-button dico-button"" href=""https://data.bordeaux-metropole.fr/dicopub/#/dico#el_lieuvote_p"" target=""_blank"">     <div>      <div class=""dico-img-div"">       <img alt=""picto dictionnaire public"" class=""dico-img"" src=""/assets/theme_image/dico_big.png""/>      </div><small class=""dico-lib"">Dictionnaire Public</small>     </div></a>   </div>   <br>   <p>Lieux de vote fournis par certaines communes de la métropole. </p>
<p>Il est possible via les WebServices de Bordeaux Métropole : </p><ul><li>d'accéder aux lieux actuels</li><li>d'accéder aux lieux à un instant T passé (grâce au paramètre backintime du WS GeoJson)</li></ul>  ";Observation / connaissance du territoire;Vote,Elections;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2026-03-31T03:23:48+00:00;False;True;2026-03-31T03:23:48+00:00;2026-03-31T03:23:48.625000+00:00;fr_70_243300316;False;Bordeaux Métropole;Point;"{""coordinates"": [[[-0.5432834476232529, 44.915643562562764], [-0.6997870746999979, 44.915643562562764], [-0.6997870746999979, 44.81841608416289], [-0.5432834476232529, 44.81841608416289], [-0.5432834476232529, 44.915643562562764]]], ""type"": ""Polygon""}";Ville de Bordeaux;;60;;;;;;;False;;;Quotidienne;Finalisé;Quotidienne;;https://www.pigma.org/geonetwork/srv/fre/catalog.search#/metadata/46cc7fe7-6788-447c-a686-fbccf82e9fc6;Sur proposition des communes, la préfecture de Gironde valide et publie par arrêté préfectoral le périmètre de chaque bureau de vote des communes ainsi que l'adresse du lieu de vote où se trouvent ces bureau;;Cette donnée peut être révisée par la commune au 1er janvier de chaque année dans le cadre d'une resectorisation électorale selon l'évolution démographique des quartiers;el_lieuvote_p
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Objet ponctuel du PCRS : mobilier urbain;"<div class=""dico"" style=""font-size: 12.495px;""> <a class=""ods-button dico-button"" href=""https://data.bordeaux-metropole.fr/dicopub/#/dico#cr_objet_mob_p"" target=""_blank"">     <div class=""dico-img-div"">      <img alt=""picto dictionnaire public"" class=""dico-img"" src=""https://opendata.bordeaux-metropole.fr/assets/theme_image/dico_big.png""/>     </div><small class=""dico-lib"" style=""font-size: 9.996px;"">Dictionnaire Public</small></a>   </div><p>Ce jeu de donnée référence les Objets ponctuels du PCRS du thème ""Mobilier urbain"".<br>Le Plan Corps de Rue Simplifié (PCRS) est constitué et actualisé sur Bordeaux Métropole dans le cadre de la réforme anti-endommagement des réseaux de 2012 afin de servir de référentiel géographique de précision pour la sécurisation des interventions à proximité des réseaux en tant que support à la localisation des réseaux dans les réponses aux déclarations de travaux (DT et DICT). Le PCRS sur Bordeaux Métropole est une restitution d'objets vecteur 3D avec une classe de précision de [3 cm] en XY et Z pouvant servir à d’autres usages allant au-delà de la réglementation anti-endommagement pour laquelle il a été initialement constitué.</p>     <hr id=""horizontalrule""/>   <p>Ce jeu de données est disponible dans un format additionnel :  <br></p>   <p><a class=""ods-button"" href=""https://fr.ftp.opendatasoft.com/scnbdx/DWG/CR_OBJET_MOB_P.dwg"">Téléchargement au format AutoCAD DWG  </a></p>";Infrastructure physique (réseau);pcrs,public,domaine,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2026-01-01T01:35:20+00:00;False;True;2026-01-01T01:35:20+00:00;2026-03-30T20:15:28.419000+00:00;fr_70_243300316;False;Bordeaux Métropole;Point;"{""coordinates"": [[[-0.46342184767127037, 45.0345158809796], [-0.8833610638976097, 45.0345158809796], [-0.8833610638976097, 44.74331058561802], [-0.46342184767127037, 44.74331058561802], [-0.46342184767127037, 45.0345158809796]]], ""type"": ""Polygon""}";Bordeaux Métropole;;218965;;;;;;;False;;;Quotidienne;Finalisé;Quotidienne;;;;;;cr_objet_mob_p
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Compte Administratif 2021 de Bordeaux Métropole;"<p><span style=""font-size: 12.495px;"">Compte administratif par nature au niveau des chapitres.</span></p>";Finances;budget,finances,data-gouv;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2022-09-21T14:37:00+00:00;False;True;2022-09-21T14:37:00+00:00;2025-06-02T08:08:04.803000+00:00;fr_70_243300316;False;Bordeaux Métropole;;;Bordeaux Métropole;;2528;;;;;;;False;;;Millésimée;Finalisé;Annuelle;;;;;;met_compte_administratif_2021
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Budget primitif 2018 de la ville de Bordeaux;<p>Crédits votés au budget primitif par nature au niveau des chapitres.<br/></p>;Finances;Budget, Finances;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2023-05-23T11:43:24+00:00;False;True;2023-05-23T11:43:24+00:00;2025-06-02T08:04:30.481000+00:00;fr_80_33063;False;Bordeaux;;;Ville de Bordeaux;;2352;;;;;;;False;;;Millésimée;Finalisé;;;;;;;bor_budgetprimitif_2018
;;;;;;;;;;;;;;;;;communauté urbaine,opendata,données ouvertes,CI_EMPRISES_A,CI_EMPRISES,circulation,chantier,arrêté de circulation,voirie,domaine public;;c15f16a6-0d2b-44ec-acee-163228155a5c;;;;;Service coordination Direction proximité;;;;Ce jeu de donnée est créé dans le logiciel Litteralis lors de l'instruction des arrêtés de circulation temporaire à la suite d'une demande de chantier. Il a été intégré dans le SIG de Bordeaux Métropole pour partager avec les services bénéficiaires et les citoyens la localisation de ces chantiers ainsi que les autorisations et les mesures modifiant les conditions de circulation et de stationnement des voies à Bordeaux. Ces données sont consultables pour le public sur le site http://plan.bordeaux.fr et téléchargeable en opendata.;Bordeaux;-0.638685984986098;-0.533667336821741;44.8107936315786;44.9162036155579;Emprises associées aux chantiers réalisés sur Bordeaux et Mérignac;"<p>Liste des emprises associées aux <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/ci_acte_a/information"" target=""_blank"">actes</a> des <a href=""https://opendata.bordeaux-metropole.fr/explore/dataset/ci_chantier/information"" target=""_blank"">chantiers</a> modifiant les conditions de circulation et de stationnement sur les villes de Bordeaux et Mérignac. <br></p>";Transports/mobilité;circulation,Travaux;Licence Ouverte;https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2026-03-31T03:19:23+00:00;False;True;2026-03-31T03:19:23+00:00;2026-03-31T03:19:23.959000+00:00;fr_80_33063,fr_80_33281;False;Bordeaux,Mérignac;;;Ville de Bordeaux;;698;;;;;;;False;;;Quotidienne;Mettre en forme;Quotidienne;;https://www.pigma.org/geonetwork/srv/fre/catalog.search#/metadata/c15f16a6-0d2b-44ec-acee-163228155a5c;Ce jeu de donnée est créé dans le logiciel Litteralis lors de l'instruction des arrêtés de circulation temporaire à la suite du dépôt  en mairie de dossiers de chantiers par tout administré.  Les données attributaires sont saisies par l'instructeur. Pour des raisons techniques (géométrie multipoint non supportée pour 3 jeux de données géographiques CI_CHANTIER_* (ponctuel/linéaire/surfacique)), ce jeu de données n'est pas intégré dans l'entrepot SIG de Bordeaux Métropole (MétroPUB), mais il récupéré chaque nuit sur le serveur géo pour être diffusé via le webservice WFS vers Carto WEB, plan bordeaux.fr et sur le portail opendata.;Quotidienne;Les mises à jour sont effectuées chaque jour dans Litteralis en fonction du passage au statut 'actif' d'un arrêté temporaire de circulation et les supprime une fois l'acte réputé caduque. Le transfert des données est réalisé chaque nuit vers le serveur géo permettant ainsi de bénéficier des données à jour à J+1 dans  Carto WEB, plan bordeaux.fr et sur le portail opendata.;ci_emprise_a
